----------------- ----------------- Fz 1
Quidditch quidditch NP00000 1
, , Fc 1
o o DA0MS0 0.950254
desporto desporto NCMS000 1
mais mais RG 0.999721
popular popular AQ0CS00 0.901786
de de SP 1
o o DA0MS0 0.950254 o PD0MS00 0.0313531 o PP3MSA0 0.0183743 o NCMS000 1.85412e-005
mundo mundo NCMS000 1
de de SP 1
os o DA0MP0 0.958022 o PD0MP00 0.021587 o PP3MPA0 0.0203911
feiticeiros feiticeiro NCMP000 0.540337
( ( Fpa 1
seis 6 Z 1
postes poste NCMP000 0.9832
altos alto AQ0MP00 0.596154
de de SP 1
golo golo NCMS000 1
, , Fc 1
quatro 4 Z 1
bolas bola NCFP000 0.953488
esvoaçantes esvoaçante AQ0CP00 1
e e CC 0.999951
catorze 14 Z 1
jogadores jogador NCMP000 0.994186
em_cima_de em_cima_de SP 1
vassoura vassoura NCFS000 0.819302
) ) Fpt 1
. . Fp 1

Todos todo DI0MP0 0.698087
os o DA0MP0 0.958022
livros livro NCMP000 1
de de SP 1
feitiços feitiço NCMP000 0.632627
de de SP 1
Harry harry NP00000 1
, , Fc 1
assim_como assim_como RG 1
a o DA0FS0 0.675415
varinha vara NCFS00D 1
, , Fc 1
os o DA0MP0 0.958022
mantos manto NCMP000 1
, , Fc 1
o o DA0MS0 0.950254
caldeirão caldeirão NCMS000 1
e e CC 0.999951
a o DA0FS0 0.675415
vassoura vassoura NCFS000 0.819302
topo topo NCMS000 0.97619
de de SP 1
gama gama NCFS000 0.358872
Nimbus nimbus NP00000 1
dois_mil 2000 Z 1
tinham ter VMII3P0 1
sido ser VMP00SM 1
encerrados encerrar VMP00PM 0.992514
por por SP 1
o o DA0MS0 1
tio tio NCMS000 1
Vernon vernon NP00000 1
em em SP 1
a o DA0FS0 1
despensa despensa NCFS000 1
que que PR0CN00 0.584265
ficava ficar VMII3S0 0.590015
debaixo debaixo RG 1
de de SP 1
as o DA0FP0 0.974798 o PD0FP00 0.0142702 o PP3FPA0 0.0109322
escadas escada NCFP000 1
, , Fc 1
em em SP 1
o o DA0MS0 1
momento momento NCMS000 1
em em SP 1
que que PR0CN00 0.584265
Harry harry NP00000 1
regressara regressar VMIM1S0 0.5
a o DA0FS0 0.675415
casa casa NCFS000 0.994169
. . Fp 1

O o PD0MS00 0.0313531
que que PR0CN00 0.584265
é_que É_que RG 1
lhes lhe PP3CPD0 1
interessava interessar VMII3S0 0.533333
